Article,Best Topic,Likelihood,Keywords
31,10,0.13929684023141967,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
32,13,0.297211748824652,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
33,5,0.1554774915430653,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
34,6,0.2896266487815783,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
35,10,0.13437328954570335,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
36,8,0.1309894674380656,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
37,2,0.1515873015873016,"year, dlrs, end, expect, report, early, total, month, period, week"
38,11,0.27464319060957715,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
39,9,0.1300762729334158,"spokesman, state, today, official, source, government, ship, strike, work, day"
40,5,0.18152218152218158,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
41,10,0.21607782898105482,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
42,11,0.4253218347706537,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
43,13,0.26455026455026465,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
44,2,0.1004423627374447,"year, dlrs, end, expect, report, early, total, month, period, week"
45,12,0.15937365937365935,"buy, analyst, firm, market, investment, sell, give, make, base, add"
46,10,0.24361628709454797,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
47,6,0.3123973727422003,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
48,6,0.2197656840513984,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
49,2,0.14397759103641455,"year, dlrs, end, expect, report, early, total, month, period, week"
50,4,0.15425888665325288,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
51,7,0.1311413454270597,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
52,11,0.24721851357365376,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
53,8,0.2117851706892803,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
54,1,0.1920795254128588,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
55,10,0.11746031746031743,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
56,1,0.21105232216343328,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
57,8,0.11138478379857687,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
58,1,0.15373640092741217,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
59,11,0.21564072783584975,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
60,3,0.14021164021164015,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
61,9,0.3727753727753728,"spokesman, state, today, official, source, government, ship, strike, work, day"
62,3,0.08963585434173664,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
63,9,0.34069473199907974,"spokesman, state, today, official, source, government, ship, strike, work, day"
64,3,0.08963585434173664,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
65,3,0.09218559218559215,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
66,3,0.2857142857142858,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
67,12,0.1676727028839705,"buy, analyst, firm, market, investment, sell, give, make, base, add"
68,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
69,1,0.15851272015655576,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
70,3,0.10714285714285711,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
71,3,0.19340659340659336,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
72,3,0.14597970335675256,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
73,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
74,4,0.12776476710902943,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
75,1,0.20911606232707156,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
76,12,0.158156435264869,"buy, analyst, firm, market, investment, sell, give, make, base, add"
77,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
78,8,0.29187856372322385,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
79,3,0.2462585034013606,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
80,7,0.32181259600614437,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
81,3,0.10714285714285711,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
82,6,0.10317460317460311,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
83,13,0.25809958686671014,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
84,6,0.3125884016973126,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
85,1,0.34194242668818936,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
86,3,0.21307506053268768,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
87,3,0.14586754241926655,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
88,1,0.10026455026455024,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
89,1,0.11723753829016985,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
90,1,0.08527855586679114,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
91,10,0.11808561808561809,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
92,1,0.1634332745443857,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
93,1,0.08577533577533576,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
94,10,0.16310892172961136,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
95,10,0.09859584859584856,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
96,6,0.26996724615772233,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
97,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
98,6,0.20024420024420023,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
99,10,0.14298311917359538,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
100,3,0.10714285714285711,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
101,10,0.1891156462585034,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
102,7,0.20956981826547047,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
103,3,0.10714285714285711,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
104,3,0.18190980095742,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
105,10,0.2700680272108844,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
106,12,0.12983312983312983,"buy, analyst, firm, market, investment, sell, give, make, base, add"
107,3,0.14165464165464164,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
108,11,0.1385281385281385,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
109,10,0.12832929782082322,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
110,5,0.2566137566137566,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
111,6,0.5177045177045178,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
112,4,0.28814382896015556,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
113,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
114,9,0.20100732600732604,"spokesman, state, today, official, source, government, ship, strike, work, day"
115,13,0.17818740399385563,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
116,1,0.18219461697722567,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
117,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
118,10,0.3842364532019704,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
119,3,0.22246272246272242,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
120,8,0.2931354359925789,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
121,1,0.14962269060629718,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
122,1,0.08791208791208788,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
123,1,0.26190476190476186,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
124,3,0.4650947757743874,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
125,3,0.16502463054187191,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
126,2,0.09725829725829724,"year, dlrs, end, expect, report, early, total, month, period, week"
127,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
128,3,0.10714285714285711,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
129,10,0.11979634621144053,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
130,10,0.13520408163265307,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
131,3,0.10286935286935284,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
132,10,0.13160173160173155,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
133,3,0.13740079365079363,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
134,8,0.1663683017066476,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
135,13,0.10523221634332743,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
136,1,0.13692656549799406,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
137,3,0.31501831501831506,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
138,0,0.45334677080708813,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
139,13,0.13139329805996475,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
140,6,0.22974101921470347,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
141,7,0.2010033719878279,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
142,3,0.2261254228467343,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
143,6,0.2886971343347182,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
144,10,0.23032069970845484,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
145,3,0.08963585434173664,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
146,11,0.17571317571317577,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
147,0,0.09703020993343574,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
148,5,0.13605442176870747,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
149,10,0.10302485774183887,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
150,10,0.178042328042328,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
151,10,0.18544973544973542,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
152,1,0.17265385686438323,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
153,10,0.2317460317460318,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
154,10,0.18240957585219877,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
155,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
156,8,0.16931216931216933,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
157,13,0.08730158730158728,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
158,3,0.3198521417699501,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
159,6,0.30214752567693753,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
160,3,0.13566468253968253,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
161,1,0.14452798663324978,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
162,10,0.11528822055137845,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
163,3,0.08963585434173664,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
164,3,0.31964285714285723,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
165,12,0.13954039327173653,"buy, analyst, firm, market, investment, sell, give, make, base, add"
166,12,0.21028171028171025,"buy, analyst, firm, market, investment, sell, give, make, base, add"
167,3,0.21307506053268768,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
168,3,0.21307506053268768,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
169,11,0.4248511904761905,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
170,1,0.20537738905085848,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
171,3,0.10129870129870126,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
172,1,0.11825396825396826,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
173,1,0.1467409658899021,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
174,11,0.23844797178130514,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
175,3,0.1336219336219336,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
176,3,0.08963585434173664,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
177,13,0.1507083119986346,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
178,3,0.08963585434173664,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
179,3,0.12398921832884095,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
180,3,0.28138528138528135,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
181,3,0.4097416744475567,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
182,3,0.16534391534391535,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
183,10,0.24115509657678333,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
184,12,0.16235827664399088,"buy, analyst, firm, market, investment, sell, give, make, base, add"
185,10,0.10111699000587884,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
186,0,0.15005537098560356,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
187,11,0.23874577153265683,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
188,1,0.12211981566820274,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
189,3,0.28117913832199554,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
190,11,0.3175796634443251,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
191,3,0.135204081632653,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
192,10,0.09905937683715459,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
193,10,0.24603174603174607,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
194,3,0.2624338624338625,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
195,13,0.2862433862433863,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
196,1,0.305238840450108,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
197,12,0.2741702741702742,"buy, analyst, firm, market, investment, sell, give, make, base, add"
198,0,0.3315072341621013,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
199,6,0.18869270554663817,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
200,3,0.1211361737677527,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
201,11,0.10408534998698933,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
202,11,0.23987872302479052,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
203,1,0.264808362369338,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
204,7,0.25773074661963546,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
205,9,0.41063855567672364,"spokesman, state, today, official, source, government, ship, strike, work, day"
206,3,0.14586754241926655,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
207,0,0.10971055088702146,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
208,6,0.15169552669552672,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
209,5,0.2556689342403628,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
210,12,0.2620281273131013,"buy, analyst, firm, market, investment, sell, give, make, base, add"
211,1,0.21001221001221007,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
212,4,0.135204081632653,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
213,0,0.07142857142857142,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
214,5,0.14011365863217715,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
215,4,0.18099109562524196,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
216,3,0.12528344671201808,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
217,2,0.1442288849696257,"year, dlrs, end, expect, report, early, total, month, period, week"
218,9,0.15229515229515234,"spokesman, state, today, official, source, government, ship, strike, work, day"
219,6,0.27695238095238095,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
220,8,0.1989087301587302,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
221,10,0.11948051948051942,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
222,3,0.30415499533146606,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
223,5,0.09285714285714286,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
224,1,0.3272584754066235,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
225,5,0.21576540220608023,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
226,3,0.10714285714285711,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
227,1,0.20741758241758243,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
228,6,0.20855379188712522,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
229,10,0.10957501280081923,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
230,4,0.11258767072720562,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
231,10,0.11461251167133521,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
232,10,0.22247023809523808,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
233,10,0.2934303350970019,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
234,2,0.15248796147672553,"year, dlrs, end, expect, report, early, total, month, period, week"
235,10,0.10937950937950934,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
236,6,0.2878306878306879,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
237,6,0.22239475500345074,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
238,1,0.15549076773566575,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
239,10,0.12537673297166968,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
240,3,0.1746031746031746,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
241,7,0.14676788589832068,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
242,10,0.12726757369614514,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
243,10,0.14021164021164015,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
244,1,0.10129870129870126,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
245,6,0.18030513176144247,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
246,1,0.25017253278122853,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
247,3,0.3291005291005292,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
248,1,0.3021645021645022,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
249,3,0.1274018379281537,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
250,4,0.22887488328664798,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
251,10,0.09285714285714286,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
252,1,0.1674185463659148,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
253,11,0.15896531452087015,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
254,1,0.15704948646125116,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
255,3,0.24187452758881325,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
256,7,0.11341991341991337,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
257,5,0.2213794072201152,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
258,7,0.20541549953314664,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
259,1,0.23913951545530487,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
260,1,0.1321924603174603,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
261,3,0.287135749822317,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
262,0,0.2541743970315399,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
263,8,0.15613553113553116,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
264,3,0.08963585434173664,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
265,1,0.13687223523289097,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
266,5,0.15952380952380946,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
267,6,0.1593180482069371,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
268,5,0.24681667538810403,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
269,7,0.23975361288794123,"bank, interest, tax, debt, loan, payment, credit, capital, increase, issue"
270,3,0.12958626073380172,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
271,8,0.19532627865961202,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
272,5,0.23291562238930663,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
273,11,0.26772186147186144,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
274,3,0.24363819601914835,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
275,3,0.11337868480725619,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
276,0,0.23285414794848763,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
277,3,0.11501431173562321,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
278,1,0.3029953917050691,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
279,13,0.36535783904204955,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
280,4,0.20441870441870444,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
281,5,0.1661230702326593,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
282,11,0.22029372496662225,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
283,5,0.13401875901875898,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
284,11,0.2966001716001716,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
285,11,0.2602240896358543,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
286,13,0.24527071102413572,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
287,3,0.10714285714285711,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
288,3,0.20866773675762446,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
289,3,0.10317460317460311,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
290,13,0.4758396913093046,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
291,4,0.20864015709376532,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
292,3,0.1757533931446975,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
293,6,0.28091060985797833,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
294,4,0.21976128952873142,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
295,2,0.1130952380952381,"year, dlrs, end, expect, report, early, total, month, period, week"
296,13,0.16834134265326928,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
297,1,0.13848396501457727,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
298,1,0.14506730962427167,"sale, company, unit, earning, business, quarter, result, operation, sell, complete"
299,13,0.2452536570183629,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
300,10,0.13947089947089947,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
301,3,0.18687830687830687,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
302,6,0.11679404271996865,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
303,13,0.27097505668934235,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
304,10,0.09808102345415778,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
305,10,0.24801587301587297,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
306,9,0.12422360248447203,"spokesman, state, today, official, source, government, ship, strike, work, day"
307,5,0.17363135730482673,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
308,12,0.21577964519140985,"buy, analyst, firm, market, investment, sell, give, make, base, add"
309,5,0.12100299056820796,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
310,10,0.1621693121693122,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
311,0,0.3698553167579716,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
312,8,0.15631906771147283,"offer, company, make, plan, group, merger, bid, tender, propose, proposal"
313,3,0.29734219269102996,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
314,4,0.10721772985923927,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
315,3,0.15491259795057266,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
316,4,0.18144078144078143,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
317,13,0.2652514821189521,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
318,13,0.1591710758377425,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
