,SOURCE,TARGET,RATING
16913,2296,3182,-1
17058,2296,2688,1
17250,2296,1731,1
17255,2296,3253,1
17392,2296,3197,-10
17399,41,3274,1
17423,2296,2987,1
17428,2296,3195,1
17437,41,1800,1
17470,41,3285,1
17489,2296,3254,1
17535,2296,2898,6
17536,2296,1403,10
17537,2296,2388,10
17538,2296,1363,10
17559,41,2028,1
17561,2296,3273,-10
17587,2296,2063,1
17611,2296,2262,5
17614,41,2642,1
17637,2296,2392,5
17668,2296,3219,2
17679,41,3316,1
17754,3335,2028,4
17760,2296,3316,1
17792,41,2388,1
17814,3335,25,5
17865,2296,3353,2
17900,2296,3341,-3
17961,2296,3326,1
17991,2296,3054,3
18026,2296,1383,-10
18072,3391,2125,1
18091,3391,202,1
18122,41,2110,1
18154,3391,2397,1
18155,3391,3347,1
18197,2296,3414,1
18232,41,13,3
18235,41,3421,1
18238,2296,3410,-1
18302,3335,3437,2
18339,3335,2642,3
18342,2053,1846,-10
18456,3335,2897,1
18472,41,3463,1
18479,41,1316,2
18516,2296,2961,1
18547,2296,1612,3
18558,41,3442,1
18585,3391,2642,1
18711,2296,1616,1
18719,2296,3436,-3
18862,41,3476,1
18876,3335,2398,2
18911,41,3107,2
18934,2296,3549,1
18939,2296,3496,2
19164,2296,3543,1
19168,2296,3571,1
19261,3607,1490,1
19376,2296,3643,1
19379,2296,3626,1
19466,2296,3661,1
19553,2296,3676,1
19595,2296,3682,1
19662,2296,3648,1
19721,2296,3706,1
19792,3719,1,1
19856,2296,3714,1
19862,41,2742,1
19864,2296,3729,1
19949,2296,3744,-10
20139,3719,3770,1
20160,2296,3366,1
20273,792,2642,5
20282,2296,3640,1
20549,2296,2017,-10
20600,2296,3621,2
20697,3719,3735,1
20875,2296,3715,4
20948,2296,3929,1
21011,3335,3656,2
21017,2495,3974,10
21036,2053,3977,1
21173,4006,3669,1
21853,3335,3345,1
21894,4141,2647,9
21923,2296,3825,1
21942,2296,2977,1
22006,4164,4105,1
22007,4164,3971,2
22008,4164,2378,1
22009,4164,2284,8
22125,2296,2028,-5
22146,2296,1810,10
22165,3335,3219,2
22223,2296,4011,1
22290,3335,363,1
22469,2512,13,10
22582,2296,1819,2
22675,2296,21,-10
22717,2296,2080,-10
22718,2296,2897,-6
22722,2296,1675,-10
22733,2296,1562,-10
22734,2512,2164,3
22735,2296,640,4
22740,2296,571,-10
22752,3719,3976,1
22783,3719,4038,1
22807,3719,3656,1
22848,2296,4275,-10
22849,2296,4278,1
22902,3719,2319,1
22926,3719,4283,3
22966,2296,3449,-10
23132,3719,3465,2
23162,2296,2125,5
23260,3719,4290,-5
23276,2296,1257,-10
23285,3719,3600,2
23286,3719,4353,1
23332,2296,1792,-10
23418,3719,13,1
23521,4375,4197,1
23522,4375,2642,1
23523,4375,4383,1
23540,3719,3815,3
23546,3719,2388,2
23556,2296,4387,1
23563,3719,4273,1
23699,3719,4410,-1
23701,3719,3345,1
23719,2296,1318,1
23727,4375,3699,3
23728,3719,4412,1
23733,3719,1916,1
23743,2296,4375,-10
23744,2296,4383,-10
23813,3719,4334,1
23817,3719,4119,2
23820,2296,4421,3
23829,3719,3916,1
23831,3719,4244,1
23875,2296,4363,1
24027,3719,2404,1
24050,3719,2306,1
24051,3719,4118,1
24065,2296,4432,-10
24072,2296,3311,5
24085,2296,4456,1
24169,3719,1612,1
24172,3719,2642,4
24231,4485,4402,1
24233,3719,3598,2
24292,3719,4492,-10
24316,3719,4499,1
24322,3719,4231,2
24323,3719,2028,-10
24336,3719,4502,-10
24338,3719,4501,-3
24342,3719,4370,2
24399,2296,4119,8
24462,2296,4450,-7
24507,3719,4400,4
24549,3719,4534,1
24555,3719,4531,-10
24570,3719,4535,-10
24572,2296,4535,-10
24573,2296,2801,-10
24581,3719,4409,1
24628,3719,4544,-10
24629,3719,4545,-10
24632,3719,4172,1
24679,3719,2661,-5
24685,2296,2767,1
24715,3719,4556,-5
25004,3719,204,-10
25067,3719,4209,1
25077,3719,3545,1
25121,41,4599,1
25125,4600,3429,1
25260,4620,4537,1
25486,2296,1044,-10
25489,4638,4515,3
25500,4638,1018,1
25502,4638,2067,1
25524,3719,4651,1
25528,4652,2600,1
25536,4638,4400,1
25564,2296,4531,-10
25651,2296,905,7
25837,3335,4691,1
25871,4600,4656,1
25914,469,4320,2
26782,3719,4291,6
27212,2296,4800,1
27305,2296,4802,-10
27334,3719,4270,1
27355,4818,4814,1
27454,3719,4831,-10
27506,4839,4787,1
27515,2296,4649,1
27545,41,4635,1
27562,4839,4389,1
27604,41,4197,2
27609,2296,3767,-10
27657,3719,1639,1
27673,4839,4862,1
27706,3719,3649,7
27751,2296,4519,1
27762,2296,4870,-10
27979,4886,4197,1
28045,2296,481,1
28046,2296,57,1
28047,2296,1,3
28048,2296,1201,1
28202,2296,4379,-5
28299,2296,4907,-5
28300,2296,4926,-1
28376,4940,2625,1
28382,4940,4004,1
28593,2296,486,1
28678,2296,4986,1
28762,2296,2110,1
28931,3719,1334,6
28951,2296,2642,3
29050,2296,5027,-1
29055,2296,3444,1
29066,2296,4172,1
29070,2296,2496,1
29190,4886,3452,1
29197,4886,4635,1
29210,2296,5056,3
29229,2296,5064,1
29298,2296,4562,1
29367,469,3006,-10
29370,469,3820,1
29379,3719,4197,4
29388,4886,5013,1
29492,2296,5099,2
29706,2296,1815,3
30089,41,4360,1
30120,41,1731,1
30315,3719,3988,1
30359,469,3699,1
30530,2296,3810,1
30552,3719,5299,10
30570,2296,4569,2
30592,2296,4771,2
30617,2296,5275,1
30673,4860,5318,1
30674,4860,1352,5
30675,4860,3707,2
31239,4860,62,-10
31811,4860,545,3
31871,2296,5501,-5
31962,4860,115,1
31971,4860,1735,1
31972,4860,5065,3
31973,4860,3572,3
32035,4860,5157,1
32041,4860,5534,1
32339,2296,5576,-10
32349,2296,1543,-10
32408,2296,3452,1
32523,2296,4291,6
32700,4860,4291,-1
32714,4860,5440,1
32731,2296,5472,1
32759,4860,5577,1
32760,4860,5634,1
32794,4860,5516,1
32864,4860,5654,-1
33085,4860,5688,1
33201,4860,5706,1
33390,3719,5612,1
33567,4860,5747,1
33578,4860,5749,1
33592,3719,4925,2
33597,2296,2784,-10
33621,4860,5754,-1
33640,2296,1316,1
33706,2296,5712,5
33842,2296,3699,-10
33900,4860,5594,-1
34180,3719,5835,1
34207,2296,3804,2
34449,4860,135,-1
34532,3719,481,3
34792,3719,5918,1
34829,3719,546,-10
34837,3719,2045,2
35185,41,3828,2
35229,3719,3451,3
35291,5972,13,1
35304,41,5974,2
35432,3719,1272,-10
35433,41,4291,2
35580,41,1052,1
